account_id,region,risk_tier,account_open_date
ACC-1000,Midwest ,Low,2025-03-25
ACC-1001,West,LOW,2025-10-01
ACC-1002,Midwest ,,2025-05-19
ACC-1003,Midwest ,high,00/00/2025
ACC-1004,MIDWEST,Low,2025-11-28
ACC-1005,West,LOW,2025-05-19
ACC-1006,MIDWEST,high,2025-10-01
ACC-1007,EAST,LOW,00/00/2025
ACC-1008,WEST,Low,2025-10-01
ACC-1009,EAST,Med,2025-03-25
ACC-1010,mw,LOW,2025-03-25
ACC-1011,Midwest ,Low,00/00/2025
ACC-1012,Midwest ,Med,2025-03-25
ACC-1013,WEST,Low,00/00/2025
ACC-1014,Midwest ,High,2025-11-28
ACC-1015,WEST,,2025-05-19
ACC-1016,East,high,2025-10-01
ACC-1017,Midwest ,Low,2025-10-01
ACC-1018,WEST,Low,2025-10-01
ACC-1019,Midwest ,High,2025-03-25
ACC-1020,,,2025-03-25
ACC-1021,mw,Med,2025-03-25
ACC-1022,West,,2025-03-25
ACC-1023,Midwest ,high,2025-10-01
ACC-1024,West,LOW,00/00/2025
ACC-1025,EAST,Med,2025-05-19
ACC-1026,West,,2025-03-25
ACC-1027,MIDWEST,LOW,2025-11-28
ACC-1028,East,High,2025-03-25
ACC-1029,Midwest ,LOW,2025-05-19
ACC-1030,East,LOW,00/00/2025
ACC-1031,EAST,,00/00/2025
ACC-1032,mw,Med,2025-10-01
ACC-1033,West,,2025-05-19
ACC-1034,WEST,,2025-05-19
ACC-1035,EAST,high,00/00/2025
ACC-1036,East,LOW,2025-10-01
ACC-1037,,Low,2025-11-28
ACC-1038,Midwest ,LOW,2025-10-01
ACC-1039,EAST,high,2025-11-28
ACC-1040,EAST,High,2025-05-19
ACC-1041,,high,2025-03-25
ACC-1042,MIDWEST,,2025-11-28
ACC-1043,WEST,,2025-03-25
ACC-1044,Midwest ,Med,00/00/2025
ACC-1045,mw,High,2025-11-28
ACC-1046,WEST,high,2025-10-01
ACC-1047,Midwest ,,2025-03-25
ACC-1048,West,LOW,2025-03-25
ACC-1049,mw,high,2025-05-19
ACC-1050,MIDWEST,high,2025-03-25
ACC-1051,,Low,2025-11-28
ACC-1052,East,Med,2025-10-01
ACC-1053,MIDWEST,LOW,2025-05-19
ACC-1054,Midwest ,Low,00/00/2025
ACC-1055,Midwest ,high,2025-10-01
ACC-1056,mw,,00/00/2025
ACC-1057,mw,Med,2025-05-19
ACC-1058,EAST,LOW,2025-05-19
ACC-1059,West,,2025-03-25
ACC-1060,EAST,,2025-03-25
ACC-1061,,high,00/00/2025
ACC-1062,Midwest ,LOW,2025-10-01
ACC-1063,Midwest ,Med,2025-11-28
ACC-1064,West,high,2025-10-01
ACC-1065,MIDWEST,Low,2025-11-28
ACC-1066,West,Low,2025-11-28
ACC-1067,East,Low,2025-05-19
ACC-1068,West,Med,00/00/2025
ACC-1069,West,high,2025-10-01
ACC-1070,,LOW,00/00/2025
ACC-1071,EAST,LOW,2025-11-28
ACC-1072,Midwest ,,00/00/2025
ACC-1073,East,High,00/00/2025
ACC-1074,,,2025-11-28
ACC-1075,Midwest ,Low,00/00/2025
ACC-1076,East,Low,2025-10-01
ACC-1077,West,LOW,2025-05-19
ACC-1078,,LOW,00/00/2025
ACC-1079,mw,Med,00/00/2025
ACC-1080,West,Low,00/00/2025
ACC-1081,Midwest ,Low,2025-05-19
ACC-1082,MIDWEST,Low,2025-10-01
ACC-1083,mw,High,00/00/2025
ACC-1084,,LOW,00/00/2025
ACC-1085,MIDWEST,LOW,00/00/2025
ACC-1086,MIDWEST,High,2025-03-25
ACC-1087,,Med,00/00/2025
ACC-1088,,LOW,2025-10-01
ACC-1089,WEST,LOW,2025-11-28
ACC-1090,MIDWEST,,2025-03-25
ACC-1091,MIDWEST,Low,2025-05-19
ACC-1092,,high,2025-05-19
ACC-1093,mw,Low,2025-05-19
ACC-1094,Midwest ,LOW,2025-11-28
ACC-1095,Midwest ,,2025-10-01
ACC-1096,EAST,Low,2025-05-19
ACC-1097,West,high,2025-05-19
ACC-1098,MIDWEST,high,2025-11-28
ACC-1099,EAST,,2025-05-19
ACC-1100,East,Med,2025-10-01
ACC-1101,East,LOW,2025-03-25
ACC-1102,EAST,LOW,2025-03-25
ACC-1103,,Med,2025-11-28
