contract_id,account_id,total_contract_value,monthly_payment_amount,payment_status,vendor_code,product_category,payment_method,delinquency_cycle,underwriter_id,collateral_value,interest_rate
CON-5000,ACC-1283,$90255,4043,Paid,VNDR_A,FLEET_TRUCK,Credit Card,60,UW_45,43000,6.3%
CON-5001,ACC-1365,139683,1145,CURRENT,vndr_c,Fleet_Car,ACH,30,UW_45,35k,0.076
CON-5002,ACC-1144,129755,2386, Paid ,VNDR_B,Equipment,ACH,60,UW_99,154000,4.7%
CON-5003,ACC-1464,$101426,3268,Current,VNDR_B,Fleet_Car,Credit Card,60,UW_102,118k,0.073
CON-5004,ACC-1416,$117749,1323,Paid,vndr_c,Equipment,ACH,90,UW_45,41k,0.057
CON-5005,ACC-1248,$109851,1586,Current,vndr_a,Fleet_Car,ACH,60,UW_99,99k,0.05
CON-5006,ACC-1067,148087,3246, Paid ,vndr_a,Fleet_Car,Credit Card,,UW_99,154k,0.055
CON-5007,ACC-1145,$129733,3881,Paid,vndr_b,Fleet_Car,Credit Card,60,UW_102,113000,5.1%
CON-5008,ACC-1270,65860,2514,Current,vndr_a,Equipment,Credit Card,60,UW_99,132k,5.3%
CON-5009,ACC-1042,140983,3925,Current,VNDR_B,FLEET_TRUCK,Credit Card,90,UW_99,46000,6.3%
CON-5010,ACC-1191,73205,1765, Paid ,VNDR_A,FLEET_TRUCK,Credit Card,0,UW_102,109000,5.9%
CON-5011,ACC-1424,40974,2735,Paid,vndr_a,Equipment,Autopay,90,UW_45,105000,4.6%
CON-5012,ACC-1372,16376,3293,CURRENT,vndr_b,Fleet_Car,Autopay ,30,UW_102,24k,0.078
CON-5013,ACC-1428,$46941,2847,CURRENT,VNDR_C,Fleet_Car,Credit Card,30,UW_102,127000,6.8%
CON-5014,ACC-1043,$127522,2944,past due,VNDR_A,Equipment,ACH,90,UW_102,110k,0.059
CON-5015,ACC-1176,26412,1787,Paid,vndr_c,Equipment,ACH,,UW_45,115k,0.041
CON-5016,ACC-1398,$102167,3604, Paid ,vndr_c,FLEET_TRUCK,Credit Card,30,UW_99,110000,7.7%
CON-5017,ACC-1477,$134977,2070,CURRENT,vndr_b,Equipment,Autopay,60,UW_99,71k,4.9%
CON-5018,ACC-1188,65096,2589, Paid ,vndr_c,FLEET_TRUCK,Autopay,60,UW_99,32000,5.5%
CON-5019,ACC-1372,145076,2538,Past Due,vndr_b,Equipment,Credit Card,,UW_102,114000,0.063
CON-5020,ACC-1218,$99203,1482,Paid,vndr_b,FLEET_TRUCK,Autopay,0,UW_45,103000,0.054
CON-5021,ACC-1038,107421,3549,Paid,vndr_b,FLEET_TRUCK,Credit Card,0,UW_99,131k,0.084
CON-5022,ACC-1486,$129864,3123,Past Due,VNDR_C,Fleet_Car,Autopay,60,UW_102,37k,6.9%
CON-5023,ACC-1127,131376,1264,Past Due,vndr_c,Fleet_Car,Autopay,,UW_102,55000,0.058
CON-5024,ACC-1355,45870,2811,Current,VNDR_A,Fleet_Car,ACH,90,UW_99,86000,0.05
CON-5025,ACC-1148,131683,4450,past due,vndr_a,Equipment,Credit Card,60,UW_45,101000,0.072
CON-5026,ACC-1184,$73783,3069,CURRENT,VNDR_B,FLEET_TRUCK,Credit Card,,UW_99,71000,5.1%
CON-5027,ACC-1037,32235,1313,past due,vndr_c,Fleet_Car,Autopay,90,UW_45,142000,0.075
CON-5028,ACC-1444,$105312,1026,Past Due,VNDR_C,Fleet_Car,Autopay ,30,UW_99,66000,0.046
CON-5029,ACC-1433,99583,1123,past due,vndr_a,Equipment,Autopay ,30,UW_45,77k,0.082
CON-5030,ACC-1078,94383,1501,Paid,VNDR_C,Equipment,Autopay ,,UW_99,43000,0.048
CON-5031,ACC-1327,$22437,924, Paid ,vndr_c,Equipment,Autopay ,60,UW_102,87000,7.5%
CON-5032,ACC-1225,79193,2502, Paid ,vndr_b,Fleet_Car,Autopay ,,UW_99,123k,4.3%
CON-5033,ACC-1066,96941,3915,past due,VNDR_C,Equipment,ACH,60,UW_99,101000,0.079
CON-5034,ACC-1196,$137282,4339,CURRENT,vndr_b,Fleet_Car,Credit Card,60,UW_45,135k,4.4%
CON-5035,ACC-1157,$96976,2837,Past Due,VNDR_A,FLEET_TRUCK,Autopay,30,UW_99,60k,6.3%
CON-5036,ACC-1240,$107509,1970,CURRENT,VNDR_A,Fleet_Car,Autopay,30,UW_102,92k,0.08
CON-5037,ACC-1185,110886,3066,past due,VNDR_A,FLEET_TRUCK,Autopay,,UW_102,113k,0.042
CON-5038,ACC-1480,$46145,2297,Current,vndr_a,Equipment,Autopay,,UW_99,44k,7.6%
CON-5039,ACC-1457,$26876,2911,Current,VNDR_B,Equipment,Autopay ,30,UW_102,105000,6.3%
CON-5040,ACC-1153,93442,2745,Past Due,VNDR_B,FLEET_TRUCK,ACH,90,UW_45,149000,0.064
CON-5041,ACC-1497,95655,3979,CURRENT,VNDR_C,Fleet_Car,ACH,,UW_102,26000,0.052
CON-5042,ACC-1485,59698,3669,Past Due,vndr_a,Fleet_Car,Autopay,60,UW_102,117k,7.1%
CON-5043,ACC-1446,54696,4274,Paid,vndr_c,Fleet_Car,Credit Card,,UW_99,72k,0.075
CON-5044,ACC-1467,100209,2983,past due,VNDR_C,FLEET_TRUCK,Autopay ,,UW_102,142000,5.4%
CON-5045,ACC-1152,65400,3958,past due,vndr_c,Fleet_Car,Autopay,60,UW_102,91000,0.05
CON-5046,ACC-1458,106436,2416,past due,vndr_a,FLEET_TRUCK,ACH,60,UW_45,90k,0.066
CON-5047,ACC-1423,35717,3006,past due,VNDR_C,Equipment,Autopay ,30,UW_99,133000,7.4%
CON-5048,ACC-1169,77726,3738, Paid ,VNDR_A,Equipment,Credit Card,0,UW_45,155k,5.0%
CON-5049,ACC-1164,56403,1969,Paid,VNDR_A,Fleet_Car,Credit Card,,UW_45,141k,0.049
CON-5050,ACC-1018,24777,4225, Paid ,vndr_b,Fleet_Car,Autopay ,0,UW_99,64k,0.078
CON-5051,ACC-1328,93221,3025,CURRENT,vndr_b,Fleet_Car,Autopay,60,UW_99,47000,5.5%
CON-5052,ACC-1172,44529,4038,past due,VNDR_C,Equipment,Credit Card,30,UW_45,137000,7.2%
CON-5053,ACC-1071,121296,2755,past due,vndr_a,Fleet_Car,Autopay ,90,UW_99,151k,5.8%
CON-5054,ACC-1334,132109,2272,Paid,vndr_a,Fleet_Car,ACH,90,UW_102,104k,7.3%
CON-5055,ACC-1353,56868,1280,Paid,VNDR_B,FLEET_TRUCK,Credit Card,30,UW_99,148000,0.08
CON-5056,ACC-1275,$140352,4084,Paid,vndr_a,Fleet_Car,ACH,,UW_102,115k,6.5%
CON-5057,ACC-1293,$109839,2998,Current,vndr_a,FLEET_TRUCK,Autopay,0,UW_45,48k,0.065
CON-5058,ACC-1232,68844,1340,CURRENT,vndr_b,FLEET_TRUCK,ACH,,UW_102,145k,0.063
CON-5059,ACC-1037,95784,985, Paid ,VNDR_B,Equipment,ACH,,UW_99,121k,4.0%
CON-5060,ACC-1392,33092,3427,Paid,vndr_c,FLEET_TRUCK,Autopay ,90,UW_102,140k,0.058
CON-5061,ACC-1275,113958,2409,CURRENT,vndr_a,Equipment,Credit Card,0,UW_99,158k,7.9%
CON-5062,ACC-1235,93214,2217,Current,VNDR_B,Fleet_Car,ACH,0,UW_45,159k,5.7%
CON-5063,ACC-1228,124901,3248,Paid,vndr_c,Fleet_Car,Credit Card,0,UW_102,24k,0.043
CON-5064,ACC-1148,130071,1759,Paid,VNDR_C,FLEET_TRUCK,Autopay ,30,UW_102,75000,7.5%
CON-5065,ACC-1485,52554,3223,Paid,vndr_a,Equipment,Autopay,,UW_102,153k,5.4%
CON-5066,ACC-1076,27290,2028, Paid ,vndr_a,Equipment,Autopay,30,UW_99,117000,5.4%
CON-5067,ACC-1495,93836,2506,CURRENT,VNDR_C,Fleet_Car,Autopay,30,UW_102,56000,0.081
CON-5068,ACC-1370,68303,4197,Current,VNDR_A,FLEET_TRUCK,Autopay,,UW_45,40000,7.8%
CON-5069,ACC-1111,25367,2763,Current,VNDR_B,FLEET_TRUCK,ACH,30,UW_99,68000,0.066
CON-5070,ACC-1203,45753,1780,CURRENT,VNDR_B,FLEET_TRUCK,Autopay,90,UW_45,142000,0.071
CON-5071,ACC-1369,109177,2723,past due,vndr_a,FLEET_TRUCK,Autopay ,90,UW_99,112000,6.2%
CON-5072,ACC-1213,73005,2009,Current,vndr_a,FLEET_TRUCK,Credit Card,90,UW_45,24k,0.082
CON-5073,ACC-1328,79416,3829, Paid ,vndr_b,Fleet_Car,Autopay ,30,UW_99,106k,0.077
CON-5074,ACC-1429,$143009,4268,Past Due,vndr_c,Fleet_Car,ACH,90,UW_99,158000,0.083
CON-5075,ACC-1316,$75668,3412,Paid,VNDR_C,FLEET_TRUCK,Autopay,0,UW_99,58k,6.3%
CON-5076,ACC-1257,$122829,4130,Paid,vndr_c,FLEET_TRUCK,Credit Card,0,UW_99,155000,6.4%
CON-5077,ACC-1040,54032,2328, Paid ,vndr_b,Equipment,Credit Card,30,UW_102,154k,0.056
CON-5078,ACC-1028,36133,3408,Past Due,vndr_c,Fleet_Car,ACH,90,UW_102,28k,0.057
CON-5079,ACC-1461,101840,4355,Paid,VNDR_C,FLEET_TRUCK,Autopay ,0,UW_99,44000,8.1%
CON-5080,ACC-1106,88498,3204,Current,vndr_c,FLEET_TRUCK,ACH,60,UW_99,28k,7.8%
CON-5081,ACC-1378,78038,1373,Paid,vndr_c,Fleet_Car,Autopay ,0,UW_99,119000,6.4%
CON-5082,ACC-1203,129580,3968,past due,VNDR_A,Equipment,Autopay ,90,UW_102,39k,0.075
CON-5083,ACC-1043,74805,3962,CURRENT,VNDR_B,Fleet_Car,ACH,0,UW_102,116k,0.071
CON-5084,ACC-1002,55428,2062, Paid ,VNDR_B,FLEET_TRUCK,ACH,30,UW_99,59000,5.4%
CON-5085,ACC-1047,64123,3245,CURRENT,VNDR_B,FLEET_TRUCK,ACH,60,UW_102,151k,4.1%
CON-5086,ACC-1071,116659,1901,past due,VNDR_B,FLEET_TRUCK,Credit Card,0,UW_99,82000,4.8%
CON-5087,ACC-1126,128947,3752,Paid,vndr_b,Equipment,Credit Card,90,UW_99,96k,4.3%
