log_id,contract_id,current_stage,days_delayed_in_stage,last_ping_timestamp
LOG-8000,CON-5000,1,12,2026-05-12 08:00:00
LOG-8001,CON-5001,Stage 2,1,2026-05-06 10:00:00
LOG-8002,CON-5002,Stage 3,-999,2026-03-03 22:00:00
LOG-8003,CON-5003,Stage 3,27,2026-03-28 01:00:00
LOG-8004,CON-5004,Stage 1,42,2026-04-28 21:00:00
LOG-8005,CON-5005,Stage 1,2,2026-02-03 19:00:00
LOG-8006,CON-5006,Stage 2,1,2026-03-19 12:00:00
LOG-8007,CON-5007,Unknown,24,2026-04-10 01:00:00
LOG-8008,CON-5008,Stage 3,44,2026-04-07 10:00:00
LOG-8009,CON-5009,Stage 3,27,2026-04-15 22:00:00
LOG-8010,CON-5010,1,22,2026-07-04 08:00:00
LOG-8011,CON-5011,Stage 4,18,2026-03-10 02:00:00
LOG-8012,CON-5012,1,5,2026-06-20 10:00:00
LOG-8013,CON-5013,Stage 2,1,2026-02-02 03:00:00
LOG-8014,CON-5014,Stage 2,-999,2026-04-06 02:00:00
LOG-8015,CON-5015,Stage 1,15,2026-07-19 02:00:00
LOG-8016,CON-5016,Stage 3,-999,2026-01-04 23:00:00
LOG-8017,CON-5017,1,39,2026-01-19 04:00:00
LOG-8018,CON-5018,Unknown,29,2026-06-11 10:00:00
LOG-8019,CON-5019,Stage 2,7,2026-01-15 22:00:00
LOG-8020,CON-5020,Unknown,5,2026-02-17 02:00:00
LOG-8021,CON-5021,Stage 2,0,2026-04-21 21:00:00
LOG-8022,CON-5022,Stage 3,45,2026-01-21 12:00:00
LOG-8023,CON-5023,Unknown,12,2026-05-02 06:00:00
LOG-8024,CON-5024,Stage 4,38,2026-06-30 05:00:00
LOG-8025,CON-5025,Stage 4,43,2026-06-01 01:00:00
LOG-8026,CON-5026,Stage 2,0,2026-01-21 05:00:00
LOG-8027,CON-5027,Unknown,34,2026-05-28 06:00:00
LOG-8028,CON-5028,Stage 3,4,2026-02-18 05:00:00
LOG-8029,CON-5029,Unknown,14,2026-02-11 12:00:00
LOG-8030,CON-5030,1,18,2026-06-03 13:00:00
LOG-8031,CON-5031,Stage 3,13,2026-04-20 08:00:00
LOG-8032,CON-5032,Unknown,33,2026-01-02 20:00:00
LOG-8033,CON-5033,Stage 1,10,2026-01-17 01:00:00
LOG-8034,CON-5034,Stage 1,3,2026-06-08 13:00:00
LOG-8035,CON-5035,Unknown,45,2026-04-25 00:00:00
LOG-8036,CON-5036,Unknown,20,2026-05-31 11:00:00
LOG-8037,CON-5037,Stage 3,43,2026-01-17 18:00:00
LOG-8038,CON-5038,Unknown,20,2026-04-26 11:00:00
LOG-8039,CON-5039,Stage 4,23,2026-05-08 09:00:00
LOG-8040,CON-5040,Stage 2,12,2026-02-28 18:00:00
LOG-8041,CON-5041,Stage 4,-999,2026-04-01 13:00:00
LOG-8042,CON-5042,Stage 4,20,2026-04-14 14:00:00
LOG-8043,CON-5043,Stage 4,9,2026-07-08 12:00:00
LOG-8044,CON-5044,Unknown,8,2026-03-23 12:00:00
LOG-8045,CON-5045,Unknown,23,2026-01-04 13:00:00
LOG-8046,CON-5046,Stage 2,9,2026-06-01 05:00:00
LOG-8047,CON-5047,Stage 2,-999,2026-04-11 15:00:00
LOG-8048,CON-5048,Stage 4,12,2026-01-06 15:00:00
LOG-8049,CON-5049,Stage 2,35,2026-03-13 07:00:00
LOG-8050,CON-5050,Stage 2,31,2026-04-21 13:00:00
LOG-8051,CON-5051,Stage 1,42,2026-01-16 11:00:00
LOG-8052,CON-5052,Stage 4,-999,2026-03-24 22:00:00
LOG-8053,CON-5053,Stage 4,9,2026-03-02 16:00:00
LOG-8054,CON-5054,Stage 3,26,2026-05-06 00:00:00
LOG-8055,CON-5055,Unknown,21,2026-06-11 09:00:00
LOG-8056,CON-5056,Stage 2,39,2026-02-01 19:00:00
LOG-8057,CON-5057,Unknown,21,2026-07-05 11:00:00
LOG-8058,CON-5058,Stage 1,23,2026-05-25 15:00:00
LOG-8059,CON-5059,Stage 2,-999,2026-04-05 13:00:00
LOG-8060,CON-5060,Stage 3,20,2026-06-26 07:00:00
LOG-8061,CON-5061,Stage 3,30,2026-03-13 17:00:00
LOG-8062,CON-5062,Stage 2,21,2026-06-28 06:00:00
LOG-8063,CON-5063,Unknown,40,2026-05-27 07:00:00
